sigla_da_torre;nome_da_torre;detentora;endereco;lat;lon;capacitado
K30;SÃO GONÇALO - MARCIA CRISTINA NIMRICHTER MOURA  - GVT;PESQUISANDO;RUA CORONEL RODRIGUES, 321;-22.838989;-43.075558;NÃO
K31;RIO DE JANEIRO - CONDOMÍNIO DO EDIFÍCIO CENTRO EMPRESARIAL CIDADE NOVA - GVT;PESQUISANDO;AVENIDA PRESIDENTE VARGAS, 3131;-22.910031;-43.204244;NÃO
K32;RIO DE JANEIRO - CONDOMÍNIO DO EDIFÍCIO CENTRO EMPRESARIAL CIDADE NOVA - GVT;PESQUISANDO;AVENIDA PRESIDENTE VARGAS, 3131;-23.910031;-43.204244;NÃO
K33;RIO DE JANEIRO - CONDOMÍNIO DO EDIFÍCIO CENTRO EMPRESARIAL CIDADE NOVA - GVT;PESQUISANDO;AVENIDA PRESIDENTE VARGAS, 3131;-22.910031;-43.204244;NÃO
K34;DUQUE DE CAXIAS - BERIS VICTORIO DA SILVA - GVT;PESQUISANDO;RUA SEBASTIÃO DE OLIVEIRA, 261;-23.315383;-43.531872;NÃO
K35;SWITCH - NILÓPOLIS - LAILA CRISTINA DA SILVA  - GVT;PESQUISANDO;AVENIDA GETÚLIO VARGAS, 2204;-22.801269;-43.423019;SIM
K36;RIO DE JANEIRO - CAIXA DE PREVIDENCIA DOS FUNCIONARIOS DO BANCO DO BRASIL-PREVI - GVT;PESQUISANDO;AVENIDA PRESIDENTE VARGAS, 3131;-22.910064;-43.204311;NÃO
K37;SWITCH - CAMPOS DOS GOYTACAZES - VANUZIA DA SILVA CAMPOS  - GVT;PESQUISANDO;RUA DOS GOYTACAZES, 168;-21.782975;-41.321983;NÃO
K38;BARRA MANSA - BORGES E FILHO APOIO ADMINISTRATIVO LTDA ME - GVT;PESQUISANDO;RUA FRANCISCO VILELA DE ANDRADE NETO, S/N;-22.91485;-44.280011;NÃO
K39;VOLTA REDONDA - MAG ADMINISTRAÇÃO DE BENS PRÓPRIOS - GVT;PESQUISANDO;AVENIDA PAULO DE FRONTIN, 312;-22.509256;-44.093733;SIM
K40;SWITCH - NOVA IGUAÇU - IDEALLE EMPREENDIMENTOS IMOBILIÁRIOS EIRELI - GVT;PESQUISANDO;RUA ATAÍDE PIMENTA DE MORAES, 175;-22.755569;-43.448022;SIM
